video_id,seat_id,is_error,run_length
video_0009_0_10_20251017113819_20251017115031,2,True,3
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,3
video_0009_0_10_20251017113819_20251017115031,4,True,2
video_0009_0_10_20251017113819_20251017115031,4,True,4
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,2
video_0009_0_10_20251017113819_20251017115031,4,True,2
video_0009_0_10_20251017113819_20251017115031,4,True,2
video_0009_0_10_20251017113819_20251017115031,4,True,3
video_0009_0_10_20251017113819_20251017115031,4,True,3
video_0009_0_10_20251017113819_20251017115031,4,True,2
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,4,True,1
video_0009_0_10_20251017113819_20251017115031,5,True,1
video_0009_0_10_20251017113819_20251017115031,5,True,1
video_0009_0_10_20251017113819_20251017115031,5,True,1
video_0009_0_10_20251017113819_20251017115031,5,True,1
video_0009_0_10_20251017113819_20251017115031,5,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,2
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,6
video_0009_0_10_20251017113819_20251017115031,8,True,5
video_0009_0_10_20251017113819_20251017115031,8,True,2
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,4
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,8,True,1
video_0009_0_10_20251017113819_20251017115031,14,True,1
video_0009_0_10_20251017113819_20251017115031,14,True,2
video_0009_0_10_20251017113819_20251017115031,14,True,1
video_0009_0_10_20251017113819_20251017115031,14,True,3
video_0009_0_10_20251017113819_20251017115031,14,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,2
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,5
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,2
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,0,True,2
video_0011_0_10_20251014111645_20251014112734,0,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,15
video_0011_0_10_20251014111645_20251014112734,1,True,16
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,2
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,7
video_0011_0_10_20251014111645_20251014112734,1,True,8
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,6
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,3
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,2
video_0011_0_10_20251014111645_20251014112734,1,True,3
video_0011_0_10_20251014111645_20251014112734,1,True,3
video_0011_0_10_20251014111645_20251014112734,1,True,3
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,1
video_0011_0_10_20251014111645_20251014112734,1,True,3
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,1
video_0011_0_10_20251014111645_20251014112734,2,True,1
video_0011_0_10_20251014111645_20251014112734,2,True,3
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,7
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,6
video_0011_0_10_20251014111645_20251014112734,2,True,1
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,1
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,3
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,2,True,1
video_0011_0_10_20251014111645_20251014112734,2,True,1
video_0011_0_10_20251014111645_20251014112734,2,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,4
video_0011_0_10_20251014111645_20251014112734,3,True,3
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,3
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,8
video_0011_0_10_20251014111645_20251014112734,3,True,5
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,2
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,3,True,1
video_0011_0_10_20251014111645_20251014112734,5,True,7
video_0011_0_10_20251014111645_20251014112734,5,True,2
video_0011_0_10_20251014111645_20251014112734,5,True,1
video_0011_0_10_20251014111645_20251014112734,5,True,1
video_0011_0_10_20251014111645_20251014112734,5,True,2
video_0011_0_10_20251014111645_20251014112734,5,True,1
video_0011_0_10_20251014111645_20251014112734,5,True,2
video_0011_0_10_20251014111645_20251014112734,5,True,1
video_0011_0_10_20251014111645_20251014112734,5,True,2
video_0011_0_10_20251014111645_20251014112734,5,True,1
video_0011_0_10_20251014111645_20251014112734,5,True,1
